"Country","Method","Energy.type","Last.stage","Year","Ledger.side","Flow.aggregation.point","Flow","Product","Unit","E.dot"
"CHE","PCM","E","Final",1960,"Consumption","Other","Residential","Non-specified primary biofuels and waste","TJ",14510
"CHE","PCM","E","Final",1960,"Supply","Total primary energy supply","Resources [of Non-specified primary biofuels and waste]","Non-specified primary biofuels and waste [from Resources]","TJ",14510
"CHE","PCM","E","Final",1960,"Supply","Transformation processes","Manufacture [of Non-specified primary biofuels and waste]","Non-specified primary biofuels and waste","TJ",14510
"CHE","PCM","E","Final",1960,"Supply","Transformation processes","Manufacture [of Non-specified primary biofuels and waste]","Non-specified primary biofuels and waste [from Resources]","TJ",-14510
"CHE","PCM","E","Final",1961,"Consumption","Other","Residential","Non-specified primary biofuels and waste","TJ",14210
"CHE","PCM","E","Final",1961,"Supply","Total primary energy supply","Resources [of Non-specified primary biofuels and waste]","Non-specified primary biofuels and waste [from Resources]","TJ",14210
"CHE","PCM","E","Final",1961,"Supply","Transformation processes","Manufacture [of Non-specified primary biofuels and waste]","Non-specified primary biofuels and waste","TJ",14210
"CHE","PCM","E","Final",1961,"Supply","Transformation processes","Manufacture [of Non-specified primary biofuels and waste]","Non-specified primary biofuels and waste [from Resources]","TJ",-14210
"CHE","PCM","E","Final",1962,"Consumption","Other","Residential","Non-specified primary biofuels and waste","TJ",16120
"CHE","PCM","E","Final",1962,"Supply","Total primary energy supply","Resources [of Non-specified primary biofuels and waste]","Non-specified primary biofuels and waste [from Resources]","TJ",16120
"CHE","PCM","E","Final",1962,"Supply","Transformation processes","Manufacture [of Non-specified primary biofuels and waste]","Non-specified primary biofuels and waste","TJ",16120
"CHE","PCM","E","Final",1962,"Supply","Transformation processes","Manufacture [of Non-specified primary biofuels and waste]","Non-specified primary biofuels and waste [from Resources]","TJ",-16120
"CHE","PCM","E","Final",1963,"Consumption","Other","Residential","Non-specified primary biofuels and waste","TJ",16120
"CHE","PCM","E","Final",1963,"Supply","Total primary energy supply","Resources [of Non-specified primary biofuels and waste]","Non-specified primary biofuels and waste [from Resources]","TJ",16120
"CHE","PCM","E","Final",1963,"Supply","Transformation processes","Manufacture [of Non-specified primary biofuels and waste]","Non-specified primary biofuels and waste","TJ",16120
"CHE","PCM","E","Final",1963,"Supply","Transformation processes","Manufacture [of Non-specified primary biofuels and waste]","Non-specified primary biofuels and waste [from Resources]","TJ",-16120
"CHE","PCM","E","Final",1964,"Consumption","Other","Residential","Non-specified primary biofuels and waste","TJ",16120
"CHE","PCM","E","Final",1964,"Supply","Total primary energy supply","Resources [of Non-specified primary biofuels and waste]","Non-specified primary biofuels and waste [from Resources]","TJ",16120
"CHE","PCM","E","Final",1964,"Supply","Transformation processes","Manufacture [of Non-specified primary biofuels and waste]","Non-specified primary biofuels and waste","TJ",16120
"CHE","PCM","E","Final",1964,"Supply","Transformation processes","Manufacture [of Non-specified primary biofuels and waste]","Non-specified primary biofuels and waste [from Resources]","TJ",-16120
"CHE","PCM","E","Final",1965,"Consumption","Other","Residential","Non-specified primary biofuels and waste","TJ",16850
"CHE","PCM","E","Final",1965,"Supply","Total primary energy supply","Resources [of Non-specified primary biofuels and waste]","Non-specified primary biofuels and waste [from Resources]","TJ",16850
"CHE","PCM","E","Final",1965,"Supply","Transformation processes","Manufacture [of Non-specified primary biofuels and waste]","Non-specified primary biofuels and waste","TJ",16850
"CHE","PCM","E","Final",1965,"Supply","Transformation processes","Manufacture [of Non-specified primary biofuels and waste]","Non-specified primary biofuels and waste [from Resources]","TJ",-16850
"CHE","PCM","E","Final",1966,"Consumption","Other","Residential","Non-specified primary biofuels and waste","TJ",14650
"CHE","PCM","E","Final",1966,"Supply","Total primary energy supply","Resources [of Non-specified primary biofuels and waste]","Non-specified primary biofuels and waste [from Resources]","TJ",14650
"CHE","PCM","E","Final",1966,"Supply","Transformation processes","Manufacture [of Non-specified primary biofuels and waste]","Non-specified primary biofuels and waste","TJ",14650
"CHE","PCM","E","Final",1966,"Supply","Transformation processes","Manufacture [of Non-specified primary biofuels and waste]","Non-specified primary biofuels and waste [from Resources]","TJ",-14650
"CHE","PCM","E","Final",1967,"Consumption","Other","Residential","Non-specified primary biofuels and waste","TJ",14290
"CHE","PCM","E","Final",1967,"Supply","Total primary energy supply","Resources [of Non-specified primary biofuels and waste]","Non-specified primary biofuels and waste [from Resources]","TJ",14290
"CHE","PCM","E","Final",1967,"Supply","Transformation processes","Manufacture [of Non-specified primary biofuels and waste]","Non-specified primary biofuels and waste","TJ",14290
"CHE","PCM","E","Final",1967,"Supply","Transformation processes","Manufacture [of Non-specified primary biofuels and waste]","Non-specified primary biofuels and waste [from Resources]","TJ",-14290
"CHE","PCM","E","Final",1968,"Consumption","Other","Residential","Non-specified primary biofuels and waste","TJ",13630
"CHE","PCM","E","Final",1968,"Supply","Total primary energy supply","Resources [of Non-specified primary biofuels and waste]","Non-specified primary biofuels and waste [from Resources]","TJ",13630
"CHE","PCM","E","Final",1968,"Supply","Transformation processes","Manufacture [of Non-specified primary biofuels and waste]","Non-specified primary biofuels and waste","TJ",13630
"CHE","PCM","E","Final",1968,"Supply","Transformation processes","Manufacture [of Non-specified primary biofuels and waste]","Non-specified primary biofuels and waste [from Resources]","TJ",-13630
"CHE","PCM","E","Final",1969,"Consumption","Other","Residential","Non-specified primary biofuels and waste","TJ",12310
"CHE","PCM","E","Final",1969,"Supply","Total primary energy supply","Resources [of Non-specified primary biofuels and waste]","Non-specified primary biofuels and waste [from Resources]","TJ",12310
"CHE","PCM","E","Final",1969,"Supply","Transformation processes","Manufacture [of Non-specified primary biofuels and waste]","Non-specified primary biofuels and waste","TJ",12310
"CHE","PCM","E","Final",1969,"Supply","Transformation processes","Manufacture [of Non-specified primary biofuels and waste]","Non-specified primary biofuels and waste [from Resources]","TJ",-12310
"CHE","PCM","E","Final",1970,"Consumption","Other","Residential","Non-specified primary biofuels and waste","TJ",10110
"CHE","PCM","E","Final",1970,"Supply","Total primary energy supply","Resources [of Non-specified primary biofuels and waste]","Non-specified primary biofuels and waste [from Resources]","TJ",10110
"CHE","PCM","E","Final",1970,"Supply","Transformation processes","Manufacture [of Non-specified primary biofuels and waste]","Non-specified primary biofuels and waste","TJ",10110
"CHE","PCM","E","Final",1970,"Supply","Transformation processes","Manufacture [of Non-specified primary biofuels and waste]","Non-specified primary biofuels and waste [from Resources]","TJ",-10110
"CHE","PCM","E","Final",1971,"Consumption","Other","Residential","Non-specified primary biofuels and waste","TJ",9670
"CHE","PCM","E","Final",1971,"Supply","Total primary energy supply","Resources [of Non-specified primary biofuels and waste]","Non-specified primary biofuels and waste [from Resources]","TJ",9670
"CHE","PCM","E","Final",1971,"Supply","Transformation processes","Manufacture [of Non-specified primary biofuels and waste]","Non-specified primary biofuels and waste","TJ",9670
"CHE","PCM","E","Final",1971,"Supply","Transformation processes","Manufacture [of Non-specified primary biofuels and waste]","Non-specified primary biofuels and waste [from Resources]","TJ",-9670
"CHE","PCM","E","Final",1972,"Consumption","Other","Residential","Non-specified primary biofuels and waste","TJ",9230
"CHE","PCM","E","Final",1972,"Supply","Total primary energy supply","Resources [of Non-specified primary biofuels and waste]","Non-specified primary biofuels and waste [from Resources]","TJ",9230
"CHE","PCM","E","Final",1972,"Supply","Transformation processes","Manufacture [of Non-specified primary biofuels and waste]","Non-specified primary biofuels and waste","TJ",9230
"CHE","PCM","E","Final",1972,"Supply","Transformation processes","Manufacture [of Non-specified primary biofuels and waste]","Non-specified primary biofuels and waste [from Resources]","TJ",-9230
"CHE","PCM","E","Final",1973,"Consumption","Other","Residential","Non-specified primary biofuels and waste","TJ",10110
"CHE","PCM","E","Final",1973,"Supply","Total primary energy supply","Resources [of Non-specified primary biofuels and waste]","Non-specified primary biofuels and waste [from Resources]","TJ",9890
"CHE","PCM","E","Final",1973,"Supply","Transformation processes","Manufacture [of Non-specified primary biofuels and waste]","Non-specified primary biofuels and waste","TJ",9890
"CHE","PCM","E","Final",1973,"Supply","Transformation processes","Manufacture [of Non-specified primary biofuels and waste]","Non-specified primary biofuels and waste [from Resources]","TJ",-9890
"CHE","PCM","E","Final",1974,"Consumption","Other","Residential","Non-specified primary biofuels and waste","TJ",8350
