"Country","Method","Energy.type","Last.stage","Year","Ledger.side","Flow.aggregation.point","Flow","Product","Unit","E.dot"
"AUS","PCM","E","Final",1960,"Consumption","Industry","Industry not elsewhere specified","Non-specified primary biofuels and waste","TJ",169690.9998
"AUS","PCM","E","Final",1960,"Supply","Total primary energy supply","Resources [of Non-specified primary biofuels and waste]","Non-specified primary biofuels and waste [from Resources]","TJ",171402.9991
"AUS","PCM","E","Final",1960,"Supply","Transformation processes","Main activity producer electricity plants","Non-specified primary biofuels and waste","TJ",-1711.9993
"AUS","PCM","E","Final",1960,"Supply","Transformation processes","Manufacture [of Non-specified primary biofuels and waste]","Non-specified primary biofuels and waste","TJ",171402.9991
"AUS","PCM","E","Final",1960,"Supply","Transformation processes","Manufacture [of Non-specified primary biofuels and waste]","Non-specified primary biofuels and waste [from Resources]","TJ",-171402.9991
"AUS","PCM","E","Final",1961,"Consumption","Industry","Industry not elsewhere specified","Non-specified primary biofuels and waste","TJ",169690.9998
"AUS","PCM","E","Final",1961,"Supply","Total primary energy supply","Resources [of Non-specified primary biofuels and waste]","Non-specified primary biofuels and waste [from Resources]","TJ",171402.9991
"AUS","PCM","E","Final",1961,"Supply","Transformation processes","Main activity producer electricity plants","Non-specified primary biofuels and waste","TJ",-1711.9993
"AUS","PCM","E","Final",1961,"Supply","Transformation processes","Manufacture [of Non-specified primary biofuels and waste]","Non-specified primary biofuels and waste","TJ",171402.9991
"AUS","PCM","E","Final",1961,"Supply","Transformation processes","Manufacture [of Non-specified primary biofuels and waste]","Non-specified primary biofuels and waste [from Resources]","TJ",-171402.9991
"AUS","PCM","E","Final",1962,"Consumption","Industry","Industry not elsewhere specified","Non-specified primary biofuels and waste","TJ",165178.002
"AUS","PCM","E","Final",1962,"Supply","Total primary energy supply","Resources [of Non-specified primary biofuels and waste]","Non-specified primary biofuels and waste [from Resources]","TJ",166844.0009
"AUS","PCM","E","Final",1962,"Supply","Transformation processes","Main activity producer electricity plants","Non-specified primary biofuels and waste","TJ",-1665.9989
"AUS","PCM","E","Final",1962,"Supply","Transformation processes","Manufacture [of Non-specified primary biofuels and waste]","Non-specified primary biofuels and waste","TJ",166844.0009
"AUS","PCM","E","Final",1962,"Supply","Transformation processes","Manufacture [of Non-specified primary biofuels and waste]","Non-specified primary biofuels and waste [from Resources]","TJ",-166844.0009
"AUS","PCM","E","Final",1963,"Consumption","Industry","Industry not elsewhere specified","Non-specified primary biofuels and waste","TJ",168368.0003
"AUS","PCM","E","Final",1963,"Supply","Total primary energy supply","Resources [of Non-specified primary biofuels and waste]","Non-specified primary biofuels and waste [from Resources]","TJ",170068.0002
