"Country","Method","Energy.type","Last.stage","Year","Ledger.side","Flow.aggregation.point","Flow","Product","Unit","E.dot"
"HUN","PCM","E","Final",2013,"Supply","Total primary energy supply","Resources [of Other sources]","Other sources [from Resources]","TJ",1080.1986
"HUN","PCM","E","Final",2013,"Supply","Transformation processes","Main activity producer CHP plants","Other sources","TJ",-1080.1986
"HUN","PCM","E","Final",2013,"Supply","Transformation processes","Manufacture [of Other sources]","Other sources","TJ",1080.1986
"HUN","PCM","E","Final",2013,"Supply","Transformation processes","Manufacture [of Other sources]","Other sources [from Resources]","TJ",-1080.1986
"HUN","PCM","E","Final",2014,"Supply","TFC compare","Statistical differences","Other sources","TJ",2.27373675443232e-13
"HUN","PCM","E","Final",2014,"Supply","Total primary energy supply","Resources [of Other sources]","Other sources [from Resources]","TJ",1934.0002
"HUN","PCM","E","Final",2014,"Supply","Transformation processes","Main activity producer CHP plants","Other sources","TJ",-128.9995
"HUN","PCM","E","Final",2014,"Supply","Transformation processes","Main activity producer electricity plants","Other sources","TJ",-144.0008
"HUN","PCM","E","Final",2014,"Supply","Transformation processes","Main activity producer heat plants","Other sources","TJ",-1660.9999
"HUN","PCM","E","Final",2014,"Supply","Transformation processes","Manufacture [of Other sources]","Other sources","TJ",1934.0002
"HUN","PCM","E","Final",2014,"Supply","Transformation processes","Manufacture [of Other sources]","Other sources [from Resources]","TJ",-1934.0002
"HUN","PCM","E","Final",2015,"Supply","TFC compare","Statistical differences","Other sources","TJ",-9.9999999974898e-05
"HUN","PCM","E","Final",2015,"Supply","Total primary energy supply","Resources [of Other sources]","Other sources [from Resources]","TJ",1904.8014
"HUN","PCM","E","Final",2015,"Supply","Transformation processes","Main activity producer CHP plants","Other sources","TJ",-188.2008
"HUN","PCM","E","Final",2015,"Supply","Transformation processes","Main activity producer electricity plants","Other sources","TJ",-147.6014
"HUN","PCM","E","Final",2015,"Supply","Transformation processes","Main activity producer heat plants","Other sources","TJ",-1568.9991
"HUN","PCM","E","Final",2015,"Supply","Transformation processes","Manufacture [of Other sources]","Other sources","TJ",1904.8014
"HUN","PCM","E","Final",2015,"Supply","Transformation processes","Manufacture [of Other sources]","Other sources [from Resources]","TJ",-1904.8014
"HUN","PCM","E","Final",2016,"Supply","TFC compare","Statistical differences","Other sources","TJ",0.00430000000051223
"HUN","PCM","E","Final",2016,"Supply","Total primary energy supply","Resources [of Other sources]","Other sources [from Resources]","TJ",2601.7989
"HUN","PCM","E","Final",2016,"Supply","Transformation processes","Main activity producer CHP plants","Other sources","TJ",-136.4018
"HUN","PCM","E","Final",2016,"Supply","Transformation processes","Main activity producer electricity plants","Other sources","TJ",-248.3987
"HUN","PCM","E","Final",2016,"Supply","Transformation processes","Main activity producer heat plants","Other sources","TJ",-2217.0027
"HUN","PCM","E","Final",2016,"Supply","Transformation processes","Manufacture [of Other sources]","Other sources","TJ",2601.7989
"HUN","PCM","E","Final",2016,"Supply","Transformation processes","Manufacture [of Other sources]","Other sources [from Resources]","TJ",-2601.7989
"HUN","PCM","E","Final",2017,"Supply","TFC compare","Statistical differences","Other sources","TJ",0.00410000000033506
