"Country","Method","Energy.type","Last.stage","Year","Ledger.side","Flow.aggregation.point","Flow","Product","Unit","E.dot"
"AGO","PCM","E","Final",2004,"Supply","TFC compare","Transfers","Liquefied petroleum gases (LPG)","TJ",5628.7004
"AGO","PCM","E","Final",2004,"Supply","TFC compare","Transfers","Natural gas liquids","TJ",-4982.292
"AGO","PCM","E","Final",2005,"Supply","TFC compare","Transfers","Liquefied petroleum gases (LPG)","TJ",6243.599
"AGO","PCM","E","Final",2005,"Supply","TFC compare","Transfers","Natural gas liquids","TJ",-5526.576
"AGO","PCM","E","Final",2006,"Supply","TFC compare","Transfers","Liquefied petroleum gases (LPG)","TJ",29515.1983
"AGO","PCM","E","Final",2006,"Supply","TFC compare","Transfers","Natural gas liquids","TJ",-26125.632
"AGO","PCM","E","Final",2007,"Supply","TFC compare","Transfers","Liquefied petroleum gases (LPG)","TJ",32305.9015
"AGO","PCM","E","Final",2007,"Supply","TFC compare","Transfers","Natural gas liquids","TJ",-28595.844
"AGO","PCM","E","Final",2008,"Supply","TFC compare","Transfers","Liquefied petroleum gases (LPG)","TJ",32305.9015
"AGO","PCM","E","Final",2008,"Supply","TFC compare","Transfers","Natural gas liquids","TJ",-28595.844
"AGO","PCM","E","Final",2009,"Supply","TFC compare","Transfers","Liquefied petroleum gases (LPG)","TJ",29515.1983
"AGO","PCM","E","Final",2009,"Supply","TFC compare","Transfers","Natural gas liquids","TJ",-26125.632
"AGO","PCM","E","Final",2010,"Supply","TFC compare","Transfers","Liquefied petroleum gases (LPG)","TJ",25305.5007
"AGO","PCM","E","Final",2010,"Supply","TFC compare","Transfers","Natural gas liquids","TJ",-22399.38
"AGO","PCM","E","Final",2011,"Supply","TFC compare","Transfers","Liquefied petroleum gases (LPG)","TJ",26771.8018
"AGO","PCM","E","Final",2011,"Supply","TFC compare","Transfers","Natural gas liquids","TJ",-23697.288
"AGO","PCM","E","Final",2012,"Supply","TFC compare","Transfers","Liquefied petroleum gases (LPG)","TJ",26866.3983
"AGO","PCM","E","Final",2012,"Supply","TFC compare","Transfers","Natural gas liquids","TJ",-23781.024
"AGO","PCM","E","Final",2013,"Supply","TFC compare","Transfers","Liquefied petroleum gases (LPG)","TJ",32022.0992
"AGO","PCM","E","Final",2013,"Supply","TFC compare","Transfers","Natural gas liquids","TJ",-28344.636
"AGO","PCM","E","Final",2014,"Supply","TFC compare","Transfers","Liquefied petroleum gases (LPG)","TJ",24596.0014
"AGO","PCM","E","Final",2014,"Supply","TFC compare","Transfers","Natural gas liquids","TJ",-21771.36
"AGO","PCM","E","Final",2015,"Supply","TFC compare","Transfers","Liquefied petroleum gases (LPG)","TJ",22751.3015
"AGO","PCM","E","Final",2015,"Supply","TFC compare","Transfers","Natural gas liquids","TJ",-20138.508
"AGO","PCM","E","Final",2016,"Supply","TFC compare","Transfers","Liquefied petroleum gases (LPG)","TJ",33346.5013
"AGO","PCM","E","Final",2016,"Supply","TFC compare","Transfers","Natural gas liquids","TJ",-29516.94
"AGO","PCM","E","Final",2017,"Supply","TFC compare","Transfers","Liquefied petroleum gases (LPG)","TJ",56781.2392
"AGO","PCM","E","Final",2017,"Supply","TFC compare","Transfers","Natural gas liquids","TJ",-50260.3987
"AGO","PCM","E","Final",2018,"Supply","TFC compare","Transfers","Liquefied petroleum gases (LPG)","TJ",55771.1947
"AGO","PCM","E","Final",2018,"Supply","TFC compare","Transfers","Natural gas liquids","TJ",-49366.3495
"AGO","PCM","E","Final",2019,"Supply","TFC compare","Transfers","Liquefied petroleum gases (LPG)","TJ",51770.4184
"AGO","PCM","E","Final",2019,"Supply","TFC compare","Transfers","Natural gas liquids","TJ",-45825.0284
"AGO","PCM","E","Final",2020,"Supply","TFC compare","Transfers","Liquefied petroleum gases (LPG)","TJ",48078.4144
"AGO","PCM","E","Final",2020,"Supply","TFC compare","Transfers","Natural gas liquids","TJ",-42557.0217
"ARE","PCM","E","Final",1977,"Supply","TFC compare","Transfers","Ethane","TJ",395.2
"ARE","PCM","E","Final",1977,"Supply","TFC compare","Transfers","Liquefied petroleum gases (LPG)","TJ",2223.1
"ARE","PCM","E","Final",1977,"Supply","TFC compare","Transfers","Naphtha","TJ",1305
"ARE","PCM","E","Final",1977,"Supply","TFC compare","Transfers","Natural gas liquids","TJ",-3587.22
"ARE","PCM","E","Final",1978,"Supply","TFC compare","Transfers","Ethane","TJ",642.2
"ARE","PCM","E","Final",1978,"Supply","TFC compare","Transfers","Liquefied petroleum gases (LPG)","TJ",3642.1
"ARE","PCM","E","Final",1978,"Supply","TFC compare","Transfers","Naphtha","TJ",2205
"ARE","PCM","E","Final",1978,"Supply","TFC compare","Transfers","Natural gas liquids","TJ",-5935.99
"ARE","PCM","E","Final",1979,"Supply","TFC compare","Transfers","Ethane","TJ",2568.8
"ARE","PCM","E","Final",1979,"Supply","TFC compare","Transfers","Liquefied petroleum gases (LPG)","TJ",14615.7
"ARE","PCM","E","Final",1979,"Supply","TFC compare","Transfers","Naphtha","TJ",8775
"ARE","PCM","E","Final",1979,"Supply","TFC compare","Transfers","Natural gas liquids","TJ",-23743.98
"ARE","PCM","E","Final",1980,"Supply","TFC compare","Transfers","Ethane","TJ",3112.2
"ARE","PCM","E","Final",1980,"Supply","TFC compare","Transfers","Liquefied petroleum gases (LPG)","TJ",17879.4
"ARE","PCM","E","Final",1980,"Supply","TFC compare","Transfers","Naphtha","TJ",10665
"ARE","PCM","E","Final",1980,"Supply","TFC compare","Transfers","Natural gas liquids","TJ",-28897.72
"ARE","PCM","E","Final",1981,"Supply","TFC compare","Transfers","Ethane","TJ",7261.8
"ARE","PCM","E","Final",1981,"Supply","TFC compare","Transfers","Liquefied petroleum gases (LPG)","TJ",41765.9
"ARE","PCM","E","Final",1981,"Supply","TFC compare","Transfers","Naphtha","TJ",24930
"ARE","PCM","E","Final",1981,"Supply","TFC compare","Transfers","Natural gas liquids","TJ",-67513.25
"ARE","PCM","E","Final",1982,"Supply","TFC compare","Transfers","Ethane","TJ",8941.4
"ARE","PCM","E","Final",1982,"Supply","TFC compare","Transfers","Liquefied petroleum gases (LPG)","TJ",51225.9
"ARE","PCM","E","Final",1982,"Supply","TFC compare","Transfers","Naphtha","TJ",30600
"ARE","PCM","E","Final",1982,"Supply","TFC compare","Transfers","Natural gas liquids","TJ",-82857.17
"ARE","PCM","E","Final",1983,"Supply","TFC compare","Transfers","Ethane","TJ",13782.6
"ARE","PCM","E","Final",1983,"Supply","TFC compare","Transfers","Liquefied petroleum gases (LPG)","TJ",78896.4
"ARE","PCM","E","Final",1983,"Supply","TFC compare","Transfers","Naphtha","TJ",47205
"ARE","PCM","E","Final",1983,"Supply","TFC compare","Transfers","Natural gas liquids","TJ",-127695.51
"ARE","PCM","E","Final",1984,"Supply","TFC compare","Transfers","Ethane","TJ",12695.8
"ARE","PCM","E","Final",1984,"Supply","TFC compare","Transfers","Liquefied petroleum gases (LPG)","TJ",72700.1
"ARE","PCM","E","Final",1984,"Supply","TFC compare","Transfers","Naphtha","TJ",43470
"ARE","PCM","E","Final",1984,"Supply","TFC compare","Transfers","Natural gas liquids","TJ",-117636.72
"ARE","PCM","E","Final",1985,"Supply","TFC compare","Transfers","Ethane","TJ",12646.4
"ARE","PCM","E","Final",1985,"Supply","TFC compare","Transfers","Liquefied petroleum gases (LPG)","TJ",72510.9
"ARE","PCM","E","Final",1985,"Supply","TFC compare","Transfers","Naphtha","TJ",43380
"ARE","PCM","E","Final",1985,"Supply","TFC compare","Transfers","Natural gas liquids","TJ",-117338.37
"ARE","PCM","E","Final",1986,"Supply","TFC compare","Transfers","Ethane","TJ",15906.8
"ARE","PCM","E","Final",1986,"Supply","TFC compare","Transfers","Liquefied petroleum gases (LPG)","TJ",91194.4
"ARE","PCM","E","Final",1986,"Supply","TFC compare","Transfers","Naphtha","TJ",54540
"ARE","PCM","E","Final",1986,"Supply","TFC compare","Transfers","Natural gas liquids","TJ",-147557.36
"ARE","PCM","E","Final",1987,"Supply","TFC compare","Transfers","Ethane","TJ",16845.4
"ARE","PCM","E","Final",1987,"Supply","TFC compare","Transfers","Liquefied petroleum gases (LPG)","TJ",96539.3
"ARE","PCM","E","Final",1987,"Supply","TFC compare","Transfers","Naphtha","TJ",57735
"ARE","PCM","E","Final",1987,"Supply","TFC compare","Transfers","Natural gas liquids","TJ",-156209.63
"ARE","PCM","E","Final",1988,"Supply","TFC compare","Transfers","Ethane","TJ",13832
"ARE","PCM","E","Final",1988,"Supply","TFC compare","Transfers","Liquefied petroleum gases (LPG)","TJ",79416.7
"ARE","PCM","E","Final",1988,"Supply","TFC compare","Transfers","Naphtha","TJ",47475
"ARE","PCM","E","Final",1988,"Supply","TFC compare","Transfers","Natural gas liquids","TJ",-128462.71
"ARE","PCM","E","Final",1989,"Supply","TFC compare","Transfers","Ethane","TJ",16894.8
"ARE","PCM","E","Final",1989,"Supply","TFC compare","Transfers","Liquefied petroleum gases (LPG)","TJ",96775.8
