"Country","Method","Energy.type","Last.stage","Year","Ledger.side","Flow.aggregation.point","Flow","Product","Unit","E.dot"
"CUB","PCM","E","Final",1971,"Consumption","Industry","Industry not elsewhere specified","Biogasoline","TJ",200.8115
"CUB","PCM","E","Final",1971,"Consumption","Other","Final consumption not elsewhere specified","Biogasoline","TJ",502.0266
"CUB","PCM","E","Final",1971,"Consumption","Other","Residential","Biogasoline","TJ",33259.3196
"CUB","PCM","E","Final",1971,"Supply","TFC compare","Statistical differences","Biogasoline","TJ",-251.011199999997
"CUB","PCM","E","Final",1971,"Supply","Total primary energy supply","Resources [of Biogasoline]","Biogasoline [from Resources]","TJ",34213.1689
"CUB","PCM","E","Final",1971,"Supply","Transformation processes","Manufacture [of Biogasoline]","Biogasoline","TJ",34213.1689
"CUB","PCM","E","Final",1971,"Supply","Transformation processes","Manufacture [of Biogasoline]","Biogasoline [from Resources]","TJ",-34213.1689
"CUB","PCM","E","Final",1972,"Consumption","Industry","Industry not elsewhere specified","Biogasoline","TJ",200.8115
"CUB","PCM","E","Final",1972,"Consumption","Other","Final consumption not elsewhere specified","Biogasoline","TJ",476.9268
"CUB","PCM","E","Final",1972,"Consumption","Other","Residential","Biogasoline","TJ",34790.4993
"CUB","PCM","E","Final",1972,"Supply","TFC compare","Statistical differences","Biogasoline","TJ",-753.041999999993
"CUB","PCM","E","Final",1972,"Supply","Total primary energy supply","Resources [of Biogasoline]","Biogasoline [from Resources]","TJ",36221.2796
"CUB","PCM","E","Final",1972,"Supply","Transformation processes","Manufacture [of Biogasoline]","Biogasoline","TJ",36221.2796
"CUB","PCM","E","Final",1972,"Supply","Transformation processes","Manufacture [of Biogasoline]","Biogasoline [from Resources]","TJ",-36221.2796
"CUB","PCM","E","Final",1973,"Consumption","Industry","Industry not elsewhere specified","Biogasoline","TJ",200.8115
"CUB","PCM","E","Final",1973,"Consumption","Other","Final consumption not elsewhere specified","Biogasoline","TJ",502.0266
"CUB","PCM","E","Final",1973,"Consumption","Other","Residential","Biogasoline","TJ",35267.4261
"CUB","PCM","E","Final",1973,"Supply","TFC compare","Statistical differences","Biogasoline","TJ",-225.915500000006
"CUB","PCM","E","Final",1973,"Supply","Total primary energy supply","Resources [of Biogasoline]","Biogasoline [from Resources]","TJ",36196.1797
"CUB","PCM","E","Final",1973,"Supply","Transformation processes","Manufacture [of Biogasoline]","Biogasoline","TJ",36196.1797
"CUB","PCM","E","Final",1973,"Supply","Transformation processes","Manufacture [of Biogasoline]","Biogasoline [from Resources]","TJ",-36196.1797
"CUB","PCM","E","Final",1974,"Consumption","Industry","Industry not elsewhere specified","Biogasoline","TJ",225.9114
"CUB","PCM","E","Final",1974,"Consumption","Other","Final consumption not elsewhere specified","Biogasoline","TJ",326.3192
"CUB","PCM","E","Final",1974,"Consumption","Other","Residential","Biogasoline","TJ",36497.3949
"CUB","PCM","E","Final",1974,"Supply","TFC compare","Statistical differences","Biogasoline","TJ",527.13079999999
"CUB","PCM","E","Final",1974,"Supply","Total primary energy supply","Resources [of Biogasoline]","Biogasoline [from Resources]","TJ",36522.4947
"CUB","PCM","E","Final",1974,"Supply","Transformation processes","Manufacture [of Biogasoline]","Biogasoline","TJ",36522.4947
"CUB","PCM","E","Final",1974,"Supply","Transformation processes","Manufacture [of Biogasoline]","Biogasoline [from Resources]","TJ",-36522.4947
"CUB","PCM","E","Final",1975,"Consumption","Industry","Industry not elsewhere specified","Biogasoline","TJ",200.8115
"CUB","PCM","E","Final",1975,"Consumption","Other","Final consumption not elsewhere specified","Biogasoline","TJ",401.623
"CUB","PCM","E","Final",1975,"Consumption","Other","Residential","Biogasoline","TJ",34715.1955
"CUB","PCM","E","Final",1975,"Supply","TFC compare","Statistical differences","Biogasoline","TJ",727.938
"CUB","PCM","E","Final",1975,"Supply","Total primary energy supply","Resources [of Biogasoline]","Biogasoline [from Resources]","TJ",34589.692
"CUB","PCM","E","Final",1975,"Supply","Transformation processes","Manufacture [of Biogasoline]","Biogasoline","TJ",34589.692
"CUB","PCM","E","Final",1975,"Supply","Transformation processes","Manufacture [of Biogasoline]","Biogasoline [from Resources]","TJ",-34589.692
"CUB","PCM","E","Final",1976,"Consumption","Industry","Industry not elsewhere specified","Biogasoline","TJ",225.9114
"CUB","PCM","E","Final",1976,"Consumption","Other","Final consumption not elsewhere specified","Biogasoline","TJ",502.0266
"CUB","PCM","E","Final",1976,"Consumption","Other","Residential","Biogasoline","TJ",35694.1489
"CUB","PCM","E","Final",1976,"Supply","TFC compare","Statistical differences","Biogasoline","TJ",1029.1531
"CUB","PCM","E","Final",1976,"Supply","Total primary energy supply","Resources [of Biogasoline]","Biogasoline [from Resources]","TJ",35392.9338
"CUB","PCM","E","Final",1976,"Supply","Transformation processes","Manufacture [of Biogasoline]","Biogasoline","TJ",35392.9338
"CUB","PCM","E","Final",1976,"Supply","Transformation processes","Manufacture [of Biogasoline]","Biogasoline [from Resources]","TJ",-35392.9338
"CUB","PCM","E","Final",1977,"Consumption","Industry","Industry not elsewhere specified","Biogasoline","TJ",225.9114
"CUB","PCM","E","Final",1977,"Consumption","Other","Final consumption not elsewhere specified","Biogasoline","TJ",401.623
"CUB","PCM","E","Final",1977,"Consumption","Other","Residential","Biogasoline","TJ",39459.3549
"CUB","PCM","E","Final",1977,"Supply","TFC compare","Statistical differences","Biogasoline","TJ",326.315099999994
"CUB","PCM","E","Final",1977,"Supply","Total primary energy supply","Resources [of Biogasoline]","Biogasoline [from Resources]","TJ",39760.5742
"CUB","PCM","E","Final",1977,"Supply","Transformation processes","Manufacture [of Biogasoline]","Biogasoline","TJ",39760.5742
"CUB","PCM","E","Final",1977,"Supply","Transformation processes","Manufacture [of Biogasoline]","Biogasoline [from Resources]","TJ",-39760.5742
"CUB","PCM","E","Final",1978,"Consumption","Industry","Industry not elsewhere specified","Biogasoline","TJ",200.8115
"CUB","PCM","E","Final",1978,"Consumption","Other","Final consumption not elsewhere specified","Biogasoline","TJ",527.1307
"CUB","PCM","E","Final",1978,"Consumption","Other","Residential","Biogasoline","TJ",38455.3016
"CUB","PCM","E","Final",1978,"Supply","TFC compare","Statistical differences","Biogasoline","TJ",-702.833899999997
"CUB","PCM","E","Final",1978,"Supply","Total primary energy supply","Resources [of Biogasoline]","Biogasoline [from Resources]","TJ",39886.0777
"CUB","PCM","E","Final",1978,"Supply","Transformation processes","Manufacture [of Biogasoline]","Biogasoline","TJ",39886.0777
"CUB","PCM","E","Final",1978,"Supply","Transformation processes","Manufacture [of Biogasoline]","Biogasoline [from Resources]","TJ",-39886.0777
"CUB","PCM","E","Final",1979,"Consumption","Industry","Industry not elsewhere specified","Biogasoline","TJ",225.9114
"CUB","PCM","E","Final",1979,"Consumption","Other","Final consumption not elsewhere specified","Biogasoline","TJ",426.7228
"CUB","PCM","E","Final",1979,"Consumption","Other","Residential","Biogasoline","TJ",40237.4968
"CUB","PCM","E","Final",1979,"Supply","TFC compare","Statistical differences","Biogasoline","TJ",-502.030800000003
"CUB","PCM","E","Final",1979,"Supply","Total primary energy supply","Resources [of Biogasoline]","Biogasoline [from Resources]","TJ",41392.1618
"CUB","PCM","E","Final",1979,"Supply","Transformation processes","Manufacture [of Biogasoline]","Biogasoline","TJ",41392.1618
"CUB","PCM","E","Final",1979,"Supply","Transformation processes","Manufacture [of Biogasoline]","Biogasoline [from Resources]","TJ",-41392.1618
"CUB","PCM","E","Final",1980,"Consumption","Industry","Industry not elsewhere specified","Biogasoline","TJ",200.8115
"CUB","PCM","E","Final",1980,"Consumption","Other","Final consumption not elsewhere specified","Biogasoline","TJ",351.4191
"CUB","PCM","E","Final",1980,"Consumption","Other","Residential","Biogasoline","TJ",44379.2259
"CUB","PCM","E","Final",1980,"Supply","TFC compare","Statistical differences","Biogasoline","TJ",1531.184
"CUB","PCM","E","Final",1980,"Supply","Total primary energy supply","Resources [of Biogasoline]","Biogasoline [from Resources]","TJ",43400.2725
"CUB","PCM","E","Final",1980,"Supply","Transformation processes","Manufacture [of Biogasoline]","Biogasoline","TJ",43400.2725
"CUB","PCM","E","Final",1980,"Supply","Transformation processes","Manufacture [of Biogasoline]","Biogasoline [from Resources]","TJ",-43400.2725
"CUB","PCM","E","Final",1981,"Consumption","Industry","Industry not elsewhere specified","Biogasoline","TJ",200.8115
"CUB","PCM","E","Final",1981,"Consumption","Other","Final consumption not elsewhere specified","Biogasoline","TJ",426.7228
"CUB","PCM","E","Final",1981,"Consumption","Other","Residential","Biogasoline","TJ",39434.255
"CUB","PCM","E","Final",1981,"Supply","TFC compare","Statistical differences","Biogasoline","TJ",-251.015499999997
"CUB","PCM","E","Final",1981,"Supply","Total primary energy supply","Resources [of Biogasoline]","Biogasoline [from Resources]","TJ",40312.8048
"CUB","PCM","E","Final",1981,"Supply","Transformation processes","Manufacture [of Biogasoline]","Biogasoline","TJ",40312.8048
"CUB","PCM","E","Final",1981,"Supply","Transformation processes","Manufacture [of Biogasoline]","Biogasoline [from Resources]","TJ",-40312.8048
"CUB","PCM","E","Final",1982,"Consumption","Industry","Industry not elsewhere specified","Biogasoline","TJ",175.7116
"CUB","PCM","E","Final",1982,"Consumption","Other","Final consumption not elsewhere specified","Biogasoline","TJ",326.3192
"CUB","PCM","E","Final",1982,"Consumption","Other","Residential","Biogasoline","TJ",42145.2038
"CUB","PCM","E","Final",1982,"Supply","TFC compare","Statistical differences","Biogasoline","TJ",-2108.51019999999
"CUB","PCM","E","Final",1982,"Supply","Total primary energy supply","Resources [of Biogasoline]","Biogasoline [from Resources]","TJ",44755.7448
"CUB","PCM","E","Final",1982,"Supply","Transformation processes","Manufacture [of Biogasoline]","Biogasoline","TJ",44755.7448
"CUB","PCM","E","Final",1982,"Supply","Transformation processes","Manufacture [of Biogasoline]","Biogasoline [from Resources]","TJ",-44755.7448
"CUB","PCM","E","Final",1983,"Consumption","Industry","Industry not elsewhere specified","Biogasoline","TJ",175.7116
"CUB","PCM","E","Final",1983,"Consumption","Other","Final consumption not elsewhere specified","Biogasoline","TJ",351.4191
"CUB","PCM","E","Final",1983,"Consumption","Other","Residential","Biogasoline","TJ",44253.7182
"CUB","PCM","E","Final",1983,"Supply","TFC compare","Statistical differences","Biogasoline","TJ",200.8115
"CUB","PCM","E","Final",1983,"Supply","Total primary energy supply","Resources [of Biogasoline]","Biogasoline [from Resources]","TJ",44580.0374
